query_id,language,pipeline,total_latency_ms
q_data_1102432,asm_Beng,text_rag,13.3
q_data_1102431,asm_Beng,text_rag,13.39
q_data_90836,asm_Beng,text_rag,18.05
q_data_55665,asm_Beng,text_rag,15.89
q_data_205107,asm_Beng,text_rag,15.9
q_data_1060386,asm_Beng,text_rag,15.54
q_data_1090356,asm_Beng,text_rag,17.76
q_data_168868,asm_Beng,text_rag,18.35
q_data_300122,asm_Beng,text_rag,15.79
q_data_290643,asm_Beng,text_rag,13.74
q_data_197590,asm_Beng,text_rag,13.66
q_data_265552,asm_Beng,text_rag,15.67
q_data_227261,asm_Beng,text_rag,14.59
q_data_227029,asm_Beng,text_rag,13.08
q_data_166290,asm_Beng,text_rag,15.21
q_data_316415,asm_Beng,text_rag,13.8
q_data_1060370,asm_Beng,text_rag,16.93
q_data_233826,asm_Beng,text_rag,15.47
q_data_1090355,asm_Beng,text_rag,12.34
q_data_287284,asm_Beng,text_rag,16.41
q_data_187378,asm_Beng,text_rag,15.01
q_data_361332,asm_Beng,text_rag,16.4
q_data_165349,asm_Beng,text_rag,17.37
q_data_260880,asm_Beng,text_rag,13.65
q_data_110842,asm_Beng,text_rag,16.75
q_data_116898,asm_Beng,text_rag,17.79
q_data_237853,asm_Beng,text_rag,15.88
q_data_1060361,asm_Beng,text_rag,14.89
q_data_144943,asm_Beng,text_rag,14.01
q_data_1090353,asm_Beng,text_rag,14.76
q_data_368321,asm_Beng,text_rag,17.02
q_data_113570,asm_Beng,text_rag,14.51
q_data_126172,asm_Beng,text_rag,14.54
q_data_198064,asm_Beng,text_rag,14.42
q_data_129220,asm_Beng,text_rag,13.95
q_data_331047,asm_Beng,text_rag,14.02
q_data_63220,asm_Beng,text_rag,16.59
q_data_74039,asm_Beng,text_rag,16.52
q_data_1060359,asm_Beng,text_rag,17.34
q_data_229231,asm_Beng,text_rag,17.14
q_data_267380,asm_Beng,text_rag,15.93
q_data_1090352,asm_Beng,text_rag,16.25
q_data_202891,asm_Beng,text_rag,17.55
q_data_112025,asm_Beng,text_rag,13.57
q_data_317450,asm_Beng,text_rag,15.58
q_data_58871,asm_Beng,text_rag,15.39
q_data_373460,asm_Beng,text_rag,17.42
